FLIGHT_ID,CALLSIGN,OPERATOR,ICAO_ACTYPE,ADEP,DEST,TAS,RFL,TYPE_OF_TRANSPONDER,Date_Added,RUNWAY,GATE,STACK
21520093,KLM1307,KLM,E190,EHAM,LFBO,444,350.0,H,2023-11-27,,,
21520094,KLM66C,KLM,E190,ENTO,EHAM,452,400.0,H,2023-11-27,36R,B16,ARTIP
21520095,TFL535,TFL,B38M,EHAM,GCFV,451,350.0,L,2023-11-27,,,
21520097,KLM671,KLM,A333,EHAM,CYUL,482,300.0,L,2023-11-27,,,
21520098,KLM125,KLM,B77W,EHAM,TNCC,484,320.0,L,2023-11-27,,,
21520099,KLM1843,KLM,B738,EHAM,LOWW,457,390.0,L,2023-11-27,,,
21520100,UAE148,UAE,B77W,EHAM,OMDB,478,350.0,L,2023-11-27,,,
21520101,KLM1306,KLM,E190,LFBO,EHAM,439,360.0,H,2023-11-27,36R,B36,RIVER
21520103,KLM67W,KLM,E75L,EGPE,EHAM,450,180.0,L,2023-11-27,36R,A62,SUGOL
21520105,OOH69,OOH,VL3,EBAM,EBUL,120,0.0,S,2023-11-27,,,
21520107,EJU3649,EJU,A320,LEBL,EHAM,435,220.0,L,2023-11-27,36R,H04,RIVER
21520109,KLM18M,KLM,E75L,ENGM,EHAM,432,380.0,L,2023-11-27,36R,A35,ARTIP
21520112,TRA413N,TRA,B738,EHEH,LGZA,441,370.0,L,2023-11-27,,,
21520115,EJU82UW,EJU,A319,EGKK,EHAM,460,230.0,L,2023-11-27,36R,H03,SUGOL
21520116,BEL4P,BEL,A319,EBBR,ENGM,444,390.0,H,2023-11-27,,,
21520117,KLM1976,KLM,E190,LHBP,EHAM,441,380.0,H,2023-11-27,36R,B20,ARTIP
21520121,WJA21,WJA,B789,EHAM,CYYC,494,340.0,E,2023-11-27,,,
21520123,KLM1386,KLM,B739,UKBB,EHAM,457,360.0,L,2023-11-27,36R,E04,ARTIP
21520126,ENZ870,ENZ,RJ1H,EBAW,EETN,386,310.0,H,2023-11-27,,,
21520130,OOI16,OOI,WT9,EHMZ,EBTN,122,0.0,E,2023-11-27,,,
21520131,ENZ881,ENZ,RJ85,EBAW,EETN,306,330.0,H,2023-11-27,,,
21520133,KLM1623,KLM,B738,EHAM,LIML,448,350.0,L,2023-11-27,,,
21520134,TRA21T,TRA,B738,LGTS,EHAM,447,280.0,L,2023-11-27,36R,D51,ARTIP
21520141,CSC3722,CSC,A332,EBBR,ZLXY,460,270.0,E,2023-11-27,,,
21520143,KLM55C,KLM,B737,EHAM,EGPF,450,400.0,L,2023-11-27,,,
21520144,EJU18AC,EJU,A320,EHAM,LPPT,441,370.0,L,2023-11-27,,,
21520146,MSR758,MSR,A20N,EHAM,HECA,447,370.0,S,2023-11-27,,,
21520151,KLM1087,KLM,E190,EHAM,EICK,449,380.0,H,2023-11-27,,,
21520152,BEL8QA,BEL,A319,EBBR,ESGG,419,390.0,H,2023-11-27,,,
21520153,EZY91LP,EZY,A20N,EHAM,EGGD,372,280.0,L,2023-11-27,,,
21520154,WZZ82WG,WZZ,A21N,LHBP,EHEH,439,340.0,L,2023-11-27,21,6,
21520155,ERF9416,ERF,B752,USNN,EHBK,334,320.0,S,2023-11-27,21,B1,
21520157,TRA831B,TRA,B738,EHAM,LGRP,444,370.0,L,2023-11-27,,,
21520158,KLM63F,KLM,E75L,EHAM,EPKK,414,350.0,L,2023-11-27,,,
21520162,SVA216,SVA,B789,EHAM,OERK,486,390.0,L,2023-11-27,,,
21520163,KLM45N,KLM,E295,EHAM,EPGD,435,390.0,L,2023-11-27,,,
21520165,TRA43A,TRA,B738,EHAM,LGAV,443,370.0,L,2023-11-27,,,
21520166,TFL978,TFL,A320,LCPH,EHAM,458,340.0,H,2023-11-27,36R,D16,ARTIP
21520172,AHO881N,AHO,E35L,EHAM,EDDB,466,330.0,S,2023-11-27,,,
21520173,TRA243L,TRA,B738,EHRD,LPPT,446,370.0,L,2023-11-27,,,
21520175,TFL627,TFL,B738,EHAM,LEPA,455,370.0,L,2023-11-27,,,
21520176,KLM937,KLM,E190,EHAM,EIDW,449,380.0,H,2023-11-27,,,
21520179,KLM1417,KLM,E190,EHAM,LFLL,449,370.0,H,2023-11-27,,,
21520180,THY2CD,THY,A333,LTFM,EHAM,463,380.0,L,2023-11-27,36R,G05,ARTIP
21520181,BEL2259,BEL,A319,EBBR,EKCH,436,360.0,H,2023-11-27,,,
21520183,WZZ61AU,WZZ,A320,EHEH,LRCL,385,230.0,L,2023-11-27,,,
21520184,TFL132,TFL,A320,LGRP,EHAM,454,380.0,L,2023-11-27,36R,D04,ARTIP
21520189,ACA7223,ACA,A333,EHAM,CYYZ,459,360.0,L,2023-11-27,,,
21520192,KLM99U,KLM,E75L,EHAM,EGAC,436,380.0,L,2023-11-27,,,
21520193,TRA44G,TRA,B737,EHRD,LPFR,427,330.0,L,2023-11-27,,,
21520196,PAV12,PAV,PC12,EHAM,EDFE,256,230.0,L,2023-11-27,,,
21520199,ABW754,ABW,B744,EHAM,UNKL,472,390.0,L,2023-11-27,,,
21520201,TRA84K,TRA,B738,LEBL,EHAM,438,360.0,L,2023-11-27,36R,D54,RIVER
21520202,SAS1549,SAS,A320,ESSA,EHAM,453,380.0,L,2023-11-27,36R,C16,ARTIP
21520203,TRA5664,TRA,B738,GCLP,EHAM,444,360.0,L,2023-11-27,36R,D49,RIVER
21520204,QTR9GA,QTR,B77W,EHAM,OTHH,477,350.0,L,2023-11-27,,,
21520205,KLM39T,KLM,E295,EHAM,ESGG,439,390.0,L,2023-11-27,,,
21520206,KLM95Y,KLM,B738,EHAM,EGPH,451,380.0,L,2023-11-27,,,
21520207,KLM1183,KLM,E75L,EHAM,ESSL,414,350.0,L,2023-11-27,,,
21520208,AWC142,AWC,A333,EGSS,EHAM,470,210.0,L,2023-11-27,36R,S72,SUGOL
21520209,TRA76U,TRA,B738,EHEH,LPFR,449,370.0,L,2023-11-27,,,
21520210,TRA9Y,TRA,B738,EHEH,LEMG,438,330.0,L,2023-11-27,,,
21520213,EJU18YX,EJU,A320,EDDB,EHAM,423,320.0,L,2023-11-27,36R,H06,ARTIP
21520214,AFL2694,AFL,B738,UUEE,EHAM,449,360.0,L,2023-11-27,36R,G06,ARTIP
21520215,TRA92J,TRA,B738,LEIB,EHRD,448,380.0,L,2023-11-27,24,C1,
21520216,GAC990B,GAC,C510,LOWI,EHAM,335,360.0,S,2023-11-27,36R,GL,RIVER
21520217,TRA2R,TRA,B738,EHRD,LEMG,447,370.0,L,2023-11-27,,,
21520219,KLM29W,KLM,B737,EHAM,EGNT,440,320.0,L,2023-11-27,,,
21520220,KLM31J,KLM,B738,EHAM,LKPR,450,390.0,L,2023-11-27,,,
21520222,PGT67U,PGT,A21N,EHAM,LTFJ,447,370.0,L,2023-11-27,,,
21520223,EJU51PT,EJU,A319,LIPZ,EHAM,405,220.0,L,2023-11-27,36R,H02,RIVER
21520227,MMD6910,MMD,F2TH,LFBZ,EDDG,458,340.0,L,2023-11-27,,,
21520231,KLM21F,KLM,E75L,EHAM,ENCN,415,350.0,L,2023-11-27,,,
21520235,TRA52B,TRA,B738,EHAM,LGIR,443,370.0,L,2023-11-27,,,
21520236,THY82E,THY,B738,EHAM,LTFJ,448,350.0,L,2023-11-27,,,
21520240,KLM47Y,KLM,E75L,EHAM,EDDN,416,350.0,L,2023-11-27,,,
21520244,ABW527,ABW,B748,UUEE,EHAM,491,320.0,L,2023-11-27,36R,S79,ARTIP
21520245,TRA6592,TRA,B737,LOWS,EHAM,361,260.0,L,2023-11-27,36R,D52,ARTIP
21520249,KLM79F,KLM,E75L,EHAM,EGBB,431,360.0,L,2023-11-27,,,
21520252,TRA28U,TRA,B737,LFBE,EHRD,428,360.0,L,2023-11-27,24,B2,
21520253,VKG9202,VKG,A321,EHGG,ENDU,451,390.0,L,2023-11-27,,,
21520255,AEA1093,AEA,B738,LEMD,EHAM,449,380.0,L,2023-11-27,36R,D03,RIVER
21520256,AEE6MS,AEE,A321,EHAM,LGAV,451,370.0,S,2023-11-27,,,
21520258,KLM919,KLM,E75L,EHAM,EGHI,367,240.0,L,2023-11-27,,,
21520259,BAW444,BAW,A320,EGLL,EHAM,460,270.0,S,2023-11-27,36R,D18,SUGOL
21520260,KLM35V,KLM,E190,EHAM,ELLX,381,230.0,H,2023-11-27,,,
21520262,EJU54CR,EJU,A319,EHAM,LIRN,435,390.0,L,2023-11-27,,,
21520271,TFL35M,TFL,B38M,EHAM,LGSA,448,370.0,L,2023-11-27,,,
21520273,RYR78NC,RYR,B738,LIPE,EHEH,442,220.0,S,2023-11-27,21,7,
21520274,KLM25G,KLM,B738,EHAM,EKBI,445,370.0,L,2023-11-27,,,
21520275,RYR5361,RYR,A320,LDZD,EHEH,448,220.0,S,2023-11-27,21,10,
21520276,RYR2EN,RYR,B738,LEMG,EHAM,442,220.0,S,2023-11-27,36R,H01,RIVER
21520277,NJE552E,NJE,C68A,LFOZ,EHAM,407,190.0,L,2023-11-27,36R,GL,RIVER
21520278,VLG378E,VLG,A320,LEPA,EHAM,448,360.0,L,2023-11-27,36R,B27,RIVER
21520280,RYR9925,RYR,B738,LIRP,EHEH,413,220.0,S,2023-11-27,21,3,
21520282,KAL9509,KAL,B748,UUEE,EHAM,482,360.0,L,2023-11-27,36R,S90,ARTIP
21520283,KLM77C,KLM,E190,EHAM,EDDV,370,230.0,H,2023-11-27,,,
21520284,KLM1731,KLM,E190,EHAM,EBBR,358,150.0,H,2023-11-27,,,
21520291,RYR6UE,RYR,B38M,LIME,EHEH,439,220.0,S,2023-11-27,21,5,
21520293,EJU3650,EJU,A320,EHAM,LEBL,427,330.0,L,2023-11-27,,,
21520295,WZZ54JM,WZZ,A21N,EHEH,LHBP,394,230.0,L,2023-11-27,,,
21520297,RYR52CX,RYR,B738,LEVC,EHEH,443,380.0,S,2023-11-27,21,2,
21520298,EJU49XF,EJU,A319,LEMG,EHAM,436,300.0,L,2023-11-27,36R,H03,RIVER
21520303,TRA51H,TRA,B738,EHAM,LICC,443,370.0,L,2023-11-27,,,
21520304,KLM17G,KLM,E190,EHAM,EKCH,436,370.0,H,2023-11-27,,,
21520305,VPC1,VPC,LJ60,EHAM,LEBL,434,390.0,S,2023-11-27,,,
21520307,EJU74CD,EJU,A319,EHAM,LIML,434,390.0,L,2023-11-27,,,
21520308,ERF9417,ERF,B752,EHBK,UUWW,459,370.0,S,2023-11-27,,,
21520312,EJU71HQ,EJU,A319,LEAL,EHAM,433,320.0,L,2023-11-27,36R,H04,RIVER
21520314,FIN2XL,FIN,E190,EFHK,EHAM,449,380.0,S,2023-11-27,36R,C12,ARTIP
21520315,AFR55CP,AFR,A318,LFPG,EHAM,388,240.0,H,2023-11-27,,C05,RIVER
21520316,TRA23N,TRA,B738,EHAM,LPFR,446,350.0,L,2023-11-27,,,
21520318,EJU67EQ,EJU,A320,EKCH,EHAM,427,340.0,L,2023-11-27,36R,H05,ARTIP
21520319,RYR580X,RYR,B738,EIDW,EHAM,450,350.0,S,2023-11-27,36R,G02,SUGOL
21520325,TRA951K,TRA,B738,EHAM,LPPT,446,360.0,L,2023-11-27,,,
21520327,TRA16E,TRA,B738,LEVC,EHEH,444,400.0,L,2023-11-27,21,,
21520329,EJU13KM,EJU,A320,LIRF,EHAM,441,380.0,L,2023-11-27,36R,H02,ARTIP
21520331,FLJ61H,FLJ,E550,EHBK,LIML,463,350.0,H,2023-11-27,,,
21520333,TRA20T,TRA,B738,EHAM,LEMG,443,350.0,L,2023-11-27,,,
21520340,EJU35DX,EJU,A320,LIMC,EHAM,431,220.0,L,2023-11-27,36R,H06,RIVER
21520341,TRA5U,TRA,B738,LIBD,EHAM,449,280.0,L,2023-11-27,36R,D05,ARTIP
21520342,KLM1963,KLM,E190,EHAM,LSZH,451,390.0,H,2023-11-27,,,
21520345,NJE893K,NJE,F2TH,EFKT,EHAM,454,380.0,H,2023-11-27,36R,GL,ARTIP
21520346,QTR8265,QTR,B77L,OTHH,EHBK,493,320.0,L,2023-11-27,21,B3,
21520349,EJU34HM,EJU,A319,LOWW,EHAM,410,360.0,L,2023-11-27,36R,H01,ARTIP
21520353,GAC914C,GAC,C510,EHAM,LOWW,337,350.0,S,2023-11-27,,,
21520354,NJE283Y,NJE,C68A,EHAM,EDDB,449,310.0,L,2023-11-27,,,
